연도,지사,동물종류,건수
2008,통영대전선,너구리,79
2008,서해안선,고라니,153
2008,익산장수선,고라니,32
2008,광주대구선,족제비,12
2009,경부선,오소리,1
2008,익산장수선,오소리,4
2008,영동선,너구리,34
2008,익산장수선,족제비,7
2007,대전남부순환선,고라니,18
2005,서해안선,너구리,158
2005,중앙선,멧토끼,141
2005,중앙선,너구리,159
2005,경부선,오소리,5
2006,논산천안선,호남선,족제비,3
2005,경부선,족제비,4
2005,동해선,삵,2
2004,경부선,노루,16
2005,평택제천선,고라니,2
2012,호남선의지선,고라니,47
2012,호남선의지선,너구리,6
2012,중앙선,멧돼지,8
2013,울산선,고라니,1
2012,부산포항선,고라니,25
2012,남해제1지선,고라니,11
2013,동해선,고라니,23
2012,논산천안선,호남선,너구리,16
2012,대구포항선,고라니,29
2013,중부내륙지선,기타,1
2011,중부내륙선,너구리,10
2012,서해안선,고라니,89
2012,청주상주선,너구리,1
2012,서울외곽순환선,멧토끼,1
2012,남해제1지선,너구리,2
2012,당진대전선,멧토끼,7
2013,서울양양,고라니,14
2014,중앙선,멧토끼,12
2014,평택제천선,고라니,24
2015,중앙선,오소리,5
2014,순천완주선,고라니,31
2014,동해선,너구리,1
2015,남해선(영암순천),고라니,12
2014,경부선,멧돼지,5
2014,제2중부선,고라니,19
2015,순천완주선,고라니,21
2015,중앙선,기타,12
2016,중앙선,고라니,283
2017,동해선,고라니,35
2017,중앙선,고라니,114
2016,광주대구선,고라니,15
2016,서천공주선,고라니,61
2016,논산천안선,호남선,멧돼지,10
2016,논산천안선,호남선,고라니,32
2017,순천완주선,고라니,17
2015,경부선,삵,2
2010,울산선,고라니,10
2010,경부선,오소리,1
2009,대전남부순환선,고라니,13
2010,청주상주선,멧토끼,2
2010,고창담양선,너구리,9
2009,당진대전선,삵,4
2008,통영대전선,족제비,4
2008,제2중부선,고라니,9
2007,통영대전선,족제비,6
2007,통영대전선,삵,5
2007,제2경인선,족제비,1
2005,서울외곽순환선,너구리,3
2004,중부내륙지선,고라니,6
2005,서해안선,노루,3
2005,중부내륙선,노루,1
2011,서울양양,멧돼지,1
2013,남해선(영암순천),멧토끼,2
2012,통영대전선,기타,6
2013,서천공주선,너구리,1
2013,동해선,멧돼지,2
2012,서울양양,오소리,1
2012,울산선,고라니,6
2013,익산장수선,멧토끼,1
2014,호남선의지선,기타,1
2016,당진대전선,너구리,10
2016,당진대전선,삵,1
2015,평택제천선,너구리,2
2016,중부내륙선,너구리,1
2017,중앙선,기타,1
2011,대구포항선,기타,1
2009,청주상주선,너구리,2
2008,남해제1지선,너구리,1
2007,울산선,너구리,1
2006,통영대전선,족제비,4
2013,논산천안선,호남선,족제비,4
2011,남해선(순천부산),멧돼지,2
2011,광주대구선,삵,2
2011,서천공주선,멧돼지,1
2013,논산천안선,호남선,멧토끼,2
2012,동해선,너구리,4
2014,남해제1지선,너구리,1
2016,호남선의지선,기타,1
2015,평택제천선,멧돼지,3
2007,고창담양선,고라니,6
2011,서해안선,오소리,2
2006,중앙선의 지선,멧토끼,1
2006,광주대구선,족제비,3
2008,제2경인선,너구리,2
2009,남해선(순천부산),삵,2
2008,논산천안선,호남선,족제비,3
2004,경부선,사슴,1
2005,논산천안선,호남선,삵,1
2004,광주대구선,노루,2
2004,대구포항선,오소리,1
2005,남해제1지선,노루,1
2012,경부선,기타,3
2014,통영대전선,기타,2
2014,청주상주선,너구리,2
2015,서해안선,멧돼지,3
2016,중부내륙지선,고라니,2
2016,남해선(영암순천),멧돼지,2
2016,남해제1지선,멧돼지,1
2016,통영대전선,멧토끼,3
2011,무안광주선,멧토끼,1
2010,논산천안선,호남선,삵,3
2008,무안광주선,삵,1
2009,남해선(순천부산),멧토끼,2
2004,울산선,오소리,1
2012,평택제천선,너구리,2
2012,남해선(영암순천),오소리,1
2013,서해안선,오소리,1
2014,영동선,멧돼지,4
2011,남해제1지선,너구리,1
2009,호남선의지선,족제비,1
2007,중앙선의 지선,너구리,1
2013,남해선(영암순천),삵,1
2013,통영대전선,오소리,1
2012,제2중부선,너구리,2
2015,중앙선,멧토끼,1
2014,통영대전선,오소리,2
2014,고창담양선,너구리,1
2015,서울외곽순환선,족제비,1
2011,논산천안선,호남선,멧토끼,2
2009,고창담양선,족제비,2
2008,남해선(순천부산),족제비,1
2008,남해제2지선,너구리,2
2004,서울외곽순환선,너구리,1
2006,대구포항선,삵,1
2012,익산장수선,기타,1
2016,서해안선,멧돼지,1
2017,청주상주선,너구리,1
2016,동해선,너구리,1
2009,무안광주선,삵,1
2009,고창담양선,멧토끼,1
2009,중앙선,오소리,1
2008,남해제1지선,고라니,1
2015,경부선,기타,1
2015,광주대구선,삵,1
2007,통영대전선,너구리,99
2007,논산천안선,호남선,고라니,122
2007,중부내륙지선,고라니,3
2011,익산장수선,고라니,9
2011,영동선,고라니,187
2011,동해선,너구리,8
2011,고창담양선,너구리,16
2011,서해안선,고라니,139
2011,남해선(순천부산),너구리,3
2011,호남선의지선,너구리,8
2011,순천완주선,멧토끼,4
2010,청주상주선,오소리,4
2010,중앙선,멧토끼,12
2009,통영대전선,고라니,293
2009,서해안선,너구리,33
2010,남해선(순천부산),너구리,3
2009,논산천안선,호남선,고라니,42
2010,무안광주선,삵,2
2010,남해제1지선,족제비,1
2009,남해선(순천부산),고라니,40
2006,논산천안선,호남선,고라니,126
2006,대구포항선,고라니,12
2008,논산천안선,호남선,고라니,59
2008,청주상주선,너구리,17
2008,대전남부순환선,너구리,5
2008,대구포항선,고라니,9
2009,동해선,고라니,35
2008,호남선의지선,멧토끼,4
2008,남해제2지선,고라니,5
2006,수도권 제2순환선,고라니,4
2005,영동선,오소리,1
2005,광주대구선,너구리,142
2004,서해안선,고라니,97
2004,광주대구선,너구리,146
2004,중부내륙선,너구리,64
2005,중앙선,고라니,374
2005,중부내륙선,고라니,113
2005,영동선,삵,4
2004,중부내륙선,고라니,143
2005,대구포항선,멧토끼,11
2004,경부선,멧토끼,8
2005,울산선,고라니,3
2004,광주대구선,멧토끼,15
2005,광주대구선,족제비,5
2004,서해안선,멧토끼,24
2005,대구포항선,오소리,4
2005,대전남부순환선,족제비,1
2006,논산천안선,호남선,노루,7
2004,논산천안선,호남선,멧토끼,9
2004,경부선,족제비,3
2005,동해선,고라니,16
2004,남해선(순천부산),멧토끼,2
2004,중부내륙선,멧토끼,46
2004,대전남부순환선,고라니,9
2013,중앙선,고라니,387
2012,당진대전선,기타,1
2013,논산천안선,호남선,너구리,32
2013,논산천안선,호남선,고라니,104
2013,통영대전선,너구리,22
2011,울산선,멧토끼,1
2011,호남선의지선,멧돼지,4
2012,무안광주선,너구리,5
2012,남해선(순천부산),고라니,14
2012,고창담양선,너구리,9
2012,동해선,멧토끼,1
2013,남해제2지선,고라니,1
2014,대전남부순환선,고라니,3
2015,호남선의지선,고라니,48
2015,서해안선,고라니,208
2015,경부선,고라니,182
2014,경부선,고라니,126
2015,순천완주선,너구리,5
2014,남해선(순천부산),고라니,15
2014,남해선(영암순천),고라니,18
2014,영동선,너구리,4
2015,당진대전선,기타,2
2015,평택제천선,기타,4
2016,서해안선,고라니,68
2016,통영대전선,고라니,156
2015,남해제2지선,너구리,2
2016,경부선,고라니,102
2016,동해선,고라니,35
2015,경부선,멧돼지,10
2016,남해선(순천부산),고라니,10
2017,당진대전선,오소리,2
2016,당진대전선,기타,2
2017,영동선,너구리,4
2016,순천완주선,기타,3
2015,광주대구선,기타,1
2016,통영대전선,너구리,9
2007,평택제천선,너구리,7
2011,통영대전선,오소리,3
2011,남해제1지선,고라니,6
2010,제2경인선,너구리,5
2010,익산장수선,너구리,2
2010,서울양양,고라니,13
2009,평택제천선,고라니,29
2009,남해선(순천부산),너구리,6
2006,남해제2지선,너구리,1
2008,호남선의지선,족제비,3
2008,서해안선,삵,3
2005,중부내륙선,오소리,1
2004,중앙선,오소리,4
2004,대구포항선,고라니,7
2004,통영대전선,삵,3
2004,서해안선,족제비,6
2012,동해선,멧돼지,1
2012,영동선,너구리,9
2012,중앙선,오소리,8
2012,청주상주선,삵,1
2013,순천완주선,삵,4
2014,중앙선,족제비,1
2015,동해선,멧토끼,2
2015,익산장수선,고라니,17
2015,서천공주선,멧돼지,4
2016,광주대구선,너구리,1
2017,상주영덕선,너구리,9
2016,남해제1지선,고라니,5
2011,통영대전선,삵,1
2010,평택제천선,너구리,4
2009,동해선,너구리,6
2006,대전남부순환선,오소리,2
2006,통영대전선,삵,3
2009,경부선,삵,3
2005,울산선,너구리,4
2005,동해선,멧토끼,6
2012,익산장수선,멧토끼,1
2011,대전남부순환선,너구리,1
2015,남해제1지선,고라니,4
2016,중앙선,너구리,5
2010,익산장수선,삵,1
2006,서울외곽순환선,너구리,3
2009,통영대전선,멧토끼,5
2007,경부선,멧토끼,2
2012,익산장수선,멧돼지,1
2012,청주상주선,오소리,2
2008,영동선,오소리,2
2014,고창담양선,멧돼지,1
2007,서울외곽순환선,너구리,1
2011,서울양양,오소리,1
2009,제2경인선,족제비,1
2008,대전남부순환선,족제비,1
2016,논산천안선,호남선,오소리,1
2016,경부선,멧돼지,2
2016,서해안선,오소리,2
2010,영동선,오소리,1
2009,광주대구선,족제비,2
2008,제2중부선,너구리,2
2006,논산천안선,호남선,오소리,2
2010,제2중부선,너구리,2
2009,동해선,오소리,1
2012,통영대전선,삵,1
2014,당진대전선,너구리,4
2017,중앙선,오소리,2
2016,중부내륙선,멧돼지,3
2011,당진대전선,멧토끼,1
2010,청주상주선,노루,1
2010,동해선,삵,1
2005,울산선,오소리,1
2011,평택제천선,오소리,1
2015,남해선(순천부산),기타,1
2017,서울양양,고라니,1
2017,논산천안선,호남선,멧돼지,1
2007,논산천안선,호남선,너구리,83
2007,평택제천선,고라니,10
2007,중부내륙선,멧토끼,4
2007,서해안선,너구리,151
2007,통영대전선,멧토끼,23
2007,영동선,멧토끼,19
2011,논산천안선,호남선,고라니,53
2011,서해안선,멧돼지,2
2011,남해선(순천부산),고라니,38
2011,순천완주선,너구리,13
2011,남해제1지선,멧토끼,1
2009,중앙선,고라니,197
2009,통영대전선,너구리,31
2009,영동선,너구리,25
2009,당진대전선,고라니,74
2006,영동선,고라니,200
2006,광주대구선,고라니,82
2006,호남선의지선,고라니,54
2006,서해안선,족제비,14
2006,논산천안선,호남선,멧토끼,15
2006,통영대전선,노루,3
2006,수도권 제2순환선,너구리,2
2008,고창담양선,너구리,11
2008,익산장수선,삵,6
2008,통영대전선,멧토끼,18
2007,대구포항선,고라니,25
2007,대구포항선,오소리,1
2005,논산천안선,호남선,너구리,140
2005,서해안선,고라니,253
2004,남해선(순천부산),너구리,23
2004,논산천안선,호남선,너구리,108
2004,통영대전선,너구리,38
2004,영동선,너구리,50
2005,경부선,노루,17
2004,동해선,멧토끼,9
2004,영동선,노루,6
2006,서해안선,오소리,10
2005,경부선,너구리,27
2006,경부선,족제비,1
2005,남해선(순천부산),너구리,36
2004,광주대구선,삵,3
2012,논산천안선,호남선,고라니,60
2013,중부내륙선,고라니,54
2011,논산천안선,호남선,너구리,25
2013,경부선,고라니,104
2011,청주상주선,기타,1
2012,평택제천선,기타,1
2012,동해선,고라니,27
2012,익산장수선,고라니,8
2012,남해선(영암순천),고라니,7
2013,남해선(영암순천),고라니,10
2012,영동선,멧토끼,2
2013,고창담양선,너구리,1
2014,중부내륙선,기타,3
2014,동해선,고라니,24
2015,중앙선,너구리,17
2014,당진대전선,오소리,1
2015,동해선,고라니,39
2015,영동선,멧돼지,8
2014,무안광주선,고라니,7
2014,대구포항선,고라니,16
2015,대전남부순환선,멧돼지,2
2017,통영대전선,멧토끼,1
2017,상주영덕선,고라니,18
2016,영동선,기타,3
2017,당진대전선,너구리,6
2016,남해선(영암순천),고라니,5
2015,중부내륙선,멧돼지,3
2016,고창담양선,고라니,9
2010,동해선,노루,1
2009,익산장수선,너구리,7
2008,중부내륙선,오소리,1
2009,중부내륙선,너구리,5
2009,동해선,멧토끼,4
2008,울산선,고라니,5
2008,대구포항선,멧토끼,4
2008,남해제1지선,오소리,1
2008,평택제천선,너구리,3
2004,서해안선,오소리,4
2006,영동선,족제비,1
2006,경부선,멧토끼,2
2004,통영대전선,멧토끼,12
2012,서울외곽순환선,족제비,1
2013,부산포항선,고라니,4
2013,서천공주선,고라니,16
2013,중부내륙선,너구리,2
2013,통영대전선,멧토끼,2
2013,남해선(순천부산),고라니,14
2013,광주대구선,멧돼지,1
2014,서천공주선,고라니,45
2015,동해선,너구리,5
2014,논산천안선,호남선,멧돼지,6
2014,서천공주선,멧토끼,1
2017,남해선(순천부산),고라니,4
2016,무안광주선,고라니,7
2016,중부내륙선,멧토끼,1
2007,통영대전선,오소리,7
2011,고창담양선,멧토끼,1
2009,당진대전선,멧토끼,10
2010,중앙선,족제비,1
2009,남해제1지선,고라니,2
2009,경부선,멧토끼,1
2008,중앙선,노루,2
2005,논산천안선,호남선,사슴,1
2013,남해선(영암순천),멧돼지,1
2013,고창담양선,고라니,5
2012,무안광주선,고라니,4
2014,호남선의지선,너구리,3
2014,영동선,삵,1
2017,중부내륙선,멧돼지,2
2016,통영대전선,삵,1
2015,서해안선,기타,2
2017,통영대전선,삵,1
2015,중앙선의 지선,고라니,2
2015,남해제1지선,오소리,1
2016,동해선,삵,1
2016,영동선,멧돼지,3
2008,영동선,족제비,1
2012,논산천안선,호남선,오소리,1
2013,영동선,멧토끼,2
2015,광주대구선,멧돼지,2
2016,부산포항선,너구리,1
2015,서해안선,삵,1
2017,청주상주선,멧돼지,5
2015,남해선(영암순천),너구리,1
2006,중부내륙선,사슴,1
2004,울산선,고라니,2
2013,광주대구선,삵,1
2012,고창담양선,오소리,2
2013,익산장수선,너구리,2
2009,중부내륙지선,고라니,1
2013,서해안선,삵,1
2013,제2중부선,너구리,2
2013,대전남부순환선,고라니,1
2016,익산장수선,기타,1
2017,상주영덕선,오소리,3
2011,호남선의지선,삵,2
2010,통영대전선,오소리,1
2010,광주대구선,족제비,3
2008,청주상주선,멧토끼,3
2007,동해선,멧토끼,1
2012,중앙선의 지선,고라니,1
2015,청주상주선,오소리,2
2016,남해제1지선,너구리,1
2010,무안광주선,멧토끼,2
2009,서해안선,삵,1
2009,고창담양선,삵,1
2008,무안광주선,멧토끼,1
2013,논산천안선,호남선,오소리,3
2012,호남선의지선,멧돼지,1
2014,광주대구선,족제비,1
2011,울산선,고라니,1
2008,대전남부순환선,멧토끼,1
2013,중부내륙선,멧돼지,1
2011,순천완주선,족제비,1
2014,고창담양선,고라니,1
2014,순천완주선,족제비,1
2014,남해선(순천부산),멧토끼,1
2016,남해제1지선,오소리,1
2018,중부내륙선,기타,1
2007,서해안선,고라니,256
2007,중앙선,고라니,311
2007,영동선,고라니,225
2007,동해선,고라니,66
2007,통영대전선,고라니,403
2007,서해안선,멧토끼,24
2007,광주대구선,너구리,104
2007,호남선의지선,고라니,86
2011,중앙선,고라니,326
2011,경부선,고라니,182
2011,중부내륙선,고라니,85
2011,영동선,너구리,15
2011,대전남부순환선,고라니,21
2011,고창담양선,삵,2
2010,중앙선,고라니,246
2010,서천공주선,고라니,60
2010,고창담양선,고라니,5
2010,평택제천선,고라니,9
2010,중앙선,너구리,33
2010,동해선,너구리,13
2010,서해안선,너구리,36
2010,대구포항선,고라니,15
2010,논산천안선,호남선,오소리,3
2009,제2경인선,너구리,1
2009,중부내륙선,고라니,45
2010,대전남부순환선,고라니,19
2010,광주대구선,너구리,8
2009,논산천안선,호남선,너구리,37
2009,통영대전선,삵,1
2009,평택제천선,너구리,7
2009,청주상주선,고라니,47
2006,경부선,고라니,251
2006,중부내륙지선,너구리,4
2006,통영대전선,너구리,104
2006,중앙선의 지선,너구리,2
2006,중앙선,족제비,14
2006,남해선(순천부산),삵,2
2006,대구포항선,오소리,1
2008,경부선,고라니,222
2008,평택제천선,고라니,8
2008,서해안선,너구리,61
2008,대전남부순환선,고라니,14
2008,호남선의지선,고라니,40
2009,고창담양선,너구리,8
2008,논산천안선,호남선,멧토끼,7
2007,논산천안선,호남선,멧토끼,3
2007,경부선,오소리,4
2007,제2중부선,고라니,8
2005,서해안선,멧토끼,75
2005,경부선,고라니,157
2004,영동선,멧토끼,62
2004,통영대전선,고라니,109
2005,통영대전선,멧토끼,20
2005,중부내륙지선,고라니,8
2005,대구포항선,고라니,30
2005,경부선,멧토끼,7
2004,논산천안선,호남선,오소리,13
2005,남해선(순천부산),노루,14
2005,서해안선,오소리,17
2004,서해안선,사슴,1
2005,남해선(순천부산),오소리,2
2004,중앙선,노루,8
2005,동해선,너구리,6
2006,남해제2지선,고라니,1
2006,서해안선,노루,3
2012,당진대전선,고라니,211
2012,당진대전선,너구리,17
2012,영동선,고라니,161
2012,광주대구선,고라니,30
2013,당진대전선,고라니,316
2013,영동선,삵,1
2013,익산장수선,고라니,19
2011,순천완주선,멧돼지,3
2011,서천공주선,너구리,3
2012,서울외곽순환선,너구리,2
2014,동해선,기타,1
2014,당진대전선,고라니,230
2015,서천공주선,고라니,108
2015,중부내륙선,고라니,75
2015,영동선,고라니,142
2015,통영대전선,고라니,356
2015,청주상주선,너구리,6
2014,중부내륙선,고라니,22
2014,논산천안선,호남선,고라니,63
2014,청주상주선,고라니,75
2014,순천완주선,기타,2
2014,순천완주선,멧돼지,1
2015,통영대전선,멧돼지,17
2015,중앙선,멧돼지,9
2017,영동선,고라니,55
2017,영동선,멧돼지,13
2016,서울외곽순환선,고라니,3
2016,통영대전선,족제비,1
2017,중부내륙선,고라니,47
2017,순천완주선,멧돼지,2
2015,호남선의지선,멧돼지,2
2015,통영대전선,너구리,11
2016,제2중부선,고라니,11
2007,중부내륙지선,너구리,2
2011,고창담양선,고라니,15
2011,제2경인선,너구리,2
2011,고창담양선,멧돼지,2
2010,남해제2지선,너구리,1
2010,대전남부순환선,너구리,2
2009,호남선의지선,너구리,6
2010,청주상주선,너구리,6
2006,수도권 제2순환선,멧토끼,1
2009,대구포항선,고라니,2
2008,논산천안선,호남선,삵,4
2008,무안광주선,너구리,4
2004,경부선,너구리,13
2005,광주대구선,삵,2
2004,남해선(순천부산),노루,6
2012,영동선,멧돼지,1
2013,광주대구선,고라니,13
2012,통영대전선,멧토끼,5
2013,논산천안선,호남선,삵,4
2012,대전남부순환선,고라니,6
2014,익산장수선,너구리,3
2017,영동선,오소리,1
2016,평택제천선,고라니,12
2017,부산포항선,고라니,2
2016,대전남부순환선,멧돼지,1
2016,광주대구선,멧돼지,4
2011,서울양양,고라니,6
2008,고창담양선,고라니,6
2008,서해안선,족제비,3
2005,제2중부선,고라니,2
2005,평택제천선,너구리,4
2011,남해제2지선,너구리,2
2011,중앙선,멧돼지,7
2012,남해선(영암순천),기타,2
2012,남해제2지선,고라니,1
2014,논산천안선,호남선,오소리,4
2014,호남선의지선,멧돼지,1
2014,익산장수선,멧돼지,1
2015,경부선,오소리,1
2017,중앙선,너구리,4
2017,경부선,멧돼지,2
2007,남해선(순천부산),오소리,2
2007,중앙선의 지선,고라니,1
2011,순천완주선,오소리,1
2010,경부선,삵,1
2010,중부내륙선,노루,1
2006,중앙선,오소리,2
2008,서해안선,오소리,2
2009,대전남부순환선,족제비,1
2008,중부내륙지선,고라니,7
2006,수도권 제2순환선,족제비,1
2012,남해선(영암순천),삵,7
2013,호남선의지선,너구리,4
2012,경부선,너구리,3
2012,순천완주선,기타,3
2013,순천완주선,기타,1
2015,무안광주선,고라니,3
2014,논산천안선,호남선,삵,2
2016,중앙선,삵,1
2011,대구포항선,너구리,3
2010,광주대구선,오소리,1
2007,평택제천선,멧토끼,2
2005,남해선(순천부산),삵,5
2005,대전남부순환선,너구리,1
2012,중부내륙선,멧토끼,1
2012,부산포항선,오소리,1
2013,동해선,너구리,1
2014,순천완주선,삵,1
2015,청주상주선,삵,1
2016,청주상주선,멧돼지,1
2016,순천완주선,멧토끼,1
2016,대구포항선,멧돼지,1
2015,남해선(순천부산),족제비,2
2011,호남선의지선,족제비,1
2009,대전남부순환선,너구리,1
2004,서해안선,노루,2
2011,서울외곽순환선,너구리,1
2011,서해안선,삵,1
2012,경인선,족제비,1
2015,남해선(영암순천),삵,1
2016,경부선,오소리,1
2017,광주대구선,멧돼지,2
2017,상주영덕선,삵,1
2007,고창담양선,삵,1
2011,논산천안선,호남선,기타,1
2007,중앙선,삵,1
2005,경부선,삵,1
2012,순천완주선,멧토끼,1
2013,중부내륙선,오소리,1
2015,당진대전선,삵,1
2014,서해안선,멧돼지,2
2010,통영대전선,족제비,1
2006,울산선,고라니,1
2005,대구포항선,노루,1
2018,남해선(순천부산),고라니,1
2015,순천완주선,삵,1
